protein_id	fasta_headers	gene_symbols_or_id	OE01923_Astroc_DIA_AA13_dil1n2_250ng	OE01925_Astroc_DIA_AA16_dil1n2_250ng	OE01919_Astroc_DIA_AA19_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
P13797	>sp|P13797|PLST_HUMAN Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4	PLS3	23.7177961467252	22.9942899003716	23.6900802756747	24.1404883501727	22.9441632696582	24.4468510378465
O15162	>sp|O15162|PLS1_HUMAN Phospholipid scramblase 1 OS=Homo sapiens OX=9606 GN=PLSCR1 PE=1 SV=1	PLSCR1	21.5735672283934	22.4891452853587	21.9059709114733	20.8470059116624	22.4593547665535	21.4539151991144
Q9NRY6	>sp|Q9NRY6|PLS3_HUMAN Phospholipid scramblase 3 OS=Homo sapiens OX=9606 GN=PLSCR3 PE=1 SV=2	PLSCR3	21.6149916318715	22.2330508037392	21.5977870089519	21.0150922717144	21.9805885725708	22.0428467735246
P55058	>sp|P55058|PLTP_HUMAN Phospholipid transfer protein OS=Homo sapiens OX=9606 GN=PLTP PE=1 SV=1	PLTP	22.0443558457982	23.1388233796174	24.2965510442236	21.3229606431054	22.8554125217853	21.9168276579952
Q6UX71	>sp|Q6UX71|PXDC2_HUMAN Plexin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PLXDC2 PE=1 SV=1	PLXDC2	21.4118269672514	21.127308180742	21.5701140563033	21.1222287673749	21.4149937245883	20.6617692470395
Q9UIW2	>sp|Q9UIW2|PLXA1_HUMAN Plexin-A1 OS=Homo sapiens OX=9606 GN=PLXNA1 PE=1 SV=3	PLXNA1	17.3481232098745	17.9184485538445	17.2427248122072	17.0779993732832	18.7294677383932	16.5847861898825
O75051	>sp|O75051|PLXA2_HUMAN Plexin-A2 OS=Homo sapiens OX=9606 GN=PLXNA2 PE=1 SV=4	PLXNA2	21.1337165638185	22.2404953956224	21.7175478449111	20.7513434582537	22.275339371001	21.2170727665651
O15031	>sp|O15031|PLXB2_HUMAN Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3	PLXNB2	21.7073009225285	22.3192614235876	21.6961045808908	21.5222438201509	22.3821899911364	21.3012619751945
P29590	>sp|P29590|PML_HUMAN Protein PML OS=Homo sapiens OX=9606 GN=PML PE=1 SV=3	PML	22.6376887074331	22.1960148347338	22.1319624656648	22.4365872788764	22.3408339196856	22.6808148047612
O15305	>sp|O15305|PMM2_HUMAN Phosphomannomutase 2 OS=Homo sapiens OX=9606 GN=PMM2 PE=1 SV=1	PMM2	22.0200193165397	21.3201988832478	21.5959968524647	22.5095172370276	21.0672162881456	22.6997390977422
Q10713	>sp|Q10713|MPPA_HUMAN Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens OX=9606 GN=PMPCA PE=1 SV=2	PMPCA	21.6815889302934	21.5917835551329	21.7463442788995	21.7378153454363	21.8814858646603	21.7993434677903
O75439	>sp|O75439|MPPB_HUMAN Mitochondrial-processing peptidase subunit beta OS=Homo sapiens OX=9606 GN=PMPCB PE=1 SV=2	PMPCB	22.2104474482798	21.8595037725967	22.1180969237377	21.8628759125746	22.2111799122842	21.9128686427611
Q15126	>sp|Q15126|PMVK_HUMAN Phosphomevalonate kinase OS=Homo sapiens OX=9606 GN=PMVK PE=1 SV=3	PMVK	19.6083537808373	19.617253168989	20.6112859017955	19.9754186860327	19.476093411169	20.6031535659954
Q96T60	>sp|Q96T60|PNKP_HUMAN Bifunctional polynucleotide phosphatase/kinase OS=Homo sapiens OX=9606 GN=PNKP PE=1 SV=1	PNKP	19.4552370028657	19.4217832333106	19.3262184992412	19.1380204908193	19.1201092023632	19.1820760036322
Q8ND90	>sp|Q8ND90|PNMA1_HUMAN Paraneoplastic antigen Ma1 OS=Homo sapiens OX=9606 GN=PNMA1 PE=1 SV=2	PNMA1	18.591021756957	19.4769892613498	19.5566446951975	18.1392603838522	19.2133673250782	18.6050894872254
Q9H307	>sp|Q9H307|PININ_HUMAN Pinin OS=Homo sapiens OX=9606 GN=PNN PE=1 SV=5	PNN	21.4484747416944	21.8101934033349	21.5121241779802	21.0324641193155	21.9168593143689	20.5351637510423
Q9NRX1	>sp|Q9NRX1|PNO1_HUMAN RNA-binding protein PNO1 OS=Homo sapiens OX=9606 GN=PNO1 PE=1 SV=1	PNO1	20.97648971292	21.0715733907984	20.3286766933209	21.0685487434522	20.9779766980127	20.8841415185943
P00491	>sp|P00491|PNPH_HUMAN Purine nucleoside phosphorylase OS=Homo sapiens OX=9606 GN=PNP PE=1 SV=2	PNP	22.0718906080948	20.4241221698233	20.7606435615622	22.2234247206891	20.3406370432998	19.9832936738503
Q8IY17	>sp|Q8IY17|PLPL6_HUMAN Patatin-like phospholipase domain-containing protein 6 OS=Homo sapiens OX=9606 GN=PNPLA6 PE=1 SV=3	PNPLA6	21.1832883883738	21.0644522378446	20.9537376840367	21.0435776801978	21.2956382379332	21.2230079892137
