protein_id	fasta_headers	gene_symbols_or_id	OE01912_Astroc_DIA_AA01_dil1n2_250ng	OE01927_Astroc_DIA_AA04_dil1n2_250ng	OE01886_Astroc_DIA_AA07_dil1n2_250ng	OE01914_Astroc_DIA_AA10_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
Q15436	>sp|Q15436|SC23A_HUMAN Protein transport protein Sec23A OS=Homo sapiens OX=9606 GN=SEC23A PE=1 SV=2	SEC23A	22.6911999153159	22.8301598785437	22.6562026945576	23.3459856002524	22.7181073433915	23.1950217073577	23.2671478290977	23.0641892117251
Q15437	>sp|Q15437|SC23B_HUMAN Protein transport protein Sec23B OS=Homo sapiens OX=9606 GN=SEC23B PE=1 SV=2	SEC23B	21.1014097395888	20.9641591735845	21.381770555464	21.3559953507471	21.3124309144025	21.3228214761652	21.3733804048793	20.5680951356843
Q9Y6Y8	>sp|Q9Y6Y8|S23IP_HUMAN SEC23-interacting protein OS=Homo sapiens OX=9606 GN=SEC23IP PE=1 SV=1	SEC23IP	20.5011849317698	20.6165552269699	20.9430608138791	21.2222576544057	20.9961637452735	21.2132205805329	21.4140375929849	21.3149981883668
O95486	>sp|O95486|SC24A_HUMAN Protein transport protein Sec24A OS=Homo sapiens OX=9606 GN=SEC24A PE=1 SV=2	SEC24A	20.5841585982892	20.3874061124259	20.6945108452949	21.6535107119218	20.7603562120377	20.9418506931516	21.3265881342185	20.7033967138249
O95487	>sp|O95487|SC24B_HUMAN Protein transport protein Sec24B OS=Homo sapiens OX=9606 GN=SEC24B PE=1 SV=2	SEC24B	20.5252399982213	20.4329126038274	19.9831303988604	20.539008097229	20.1884156947563	20.4977854650432	19.9291024459273	19.9988760730199
P53992	>sp|P53992|SC24C_HUMAN Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=3	SEC24C	21.977105496649	21.9764581510623	21.659845684514	21.8625475926706	22.0625233103753	22.2682200318241	22.1028760430567	22.0210815898065
O94855	>sp|O94855|SC24D_HUMAN Protein transport protein Sec24D OS=Homo sapiens OX=9606 GN=SEC24D PE=1 SV=2	SEC24D	21.8492946910368	22.2562553529167	22.1819632376138	22.9168610957601	22.0858119922627	22.7542616136519	23.1476980574197	22.8371245468331
O94979	>sp|O94979|SC31A_HUMAN Protein transport protein Sec31A OS=Homo sapiens OX=9606 GN=SEC31A PE=1 SV=3	SEC31A	22.4213612344198	22.6392253092562	22.6762263730165	23.1991621181798	22.8546132745567	23.087082965349	23.2677709693802	23.1258925762959
P61619	>sp|P61619|S61A1_HUMAN Protein transport protein Sec61 subunit alpha isoform 1 OS=Homo sapiens OX=9606 GN=SEC61A1 PE=1 SV=2	SEC61A1	23.2322135865551	23.3963337568365	23.6760459259043	23.8420140960955	23.0719068486588	23.043177494255	23.737207247146	23.9576448129609
P60468	>sp|P60468|SC61B_HUMAN Protein transport protein Sec61 subunit beta OS=Homo sapiens OX=9606 GN=SEC61B PE=1 SV=2	SEC61B	25.8353711576237	25.7790682569936	25.9260970210291	25.9830719005304	25.2181121603332	24.919261598708	25.2385724425394	25.6793238264437
