protein_id	fasta_headers	gene_symbols_or_id	OE01897_Astroc_DIA_AA15_dil1n2_250ng	OE01879_Astroc_DIA_AA21_dil1n2_250ng	OE01903_Astroc_DIA_AA03_dil1n2_250ng	OE01901_Astroc_DIA_AA06_dil1n2_250ng	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng
P51398	>sp|P51398|RT29_HUMAN Small ribosomal subunit protein mS29 OS=Homo sapiens OX=9606 GN=DAP3 PE=1 SV=1	DAP3	21.3799786018417	20.9578223212023	21.4095560717903	21.2070682078982	20.5108556860648	20.8996365938644	20.7488547265342
P14868	>sp|P14868|SYDC_HUMAN Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=DARS1 PE=1 SV=2	DARS1	23.3819096495284	23.1580279583081	23.0948796072495	23.794116103797	22.5631182147998	21.7331563751444	22.5374008230787
Q6PI48	>sp|Q6PI48|SYDM_HUMAN Aspartate--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=DARS2 PE=1 SV=1	DARS2	18.722190717041	18.4994270222969	19.1949874667424	18.6785828994971	20.3237629276006	21.1444695403183	20.8083605607997
Q96EP5	>sp|Q96EP5|DAZP1_HUMAN DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1	DAZAP1	21.7015828554982	22.1326831225925	22.0469164313513	22.3101322232113	24.0372640591614	22.6643468791228	23.3266520425724
P07108	>sp|P07108|ACBP_HUMAN Acyl-CoA-binding protein OS=Homo sapiens OX=9606 GN=DBI PE=1 SV=2	DBI	22.3865009348124	23.7725525592147	22.2063112908578	22.7083980795795	23.0335107984794	22.1266643003144	22.6965982385239
Q16643	>sp|Q16643|DREB_HUMAN Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4	DBN1	20.9687355013613	20.4975228977475	21.258471263883	21.1606604506743	23.5636600894952	24.4226921178211	23.392243670082
P11182	>sp|P11182|ODB2_HUMAN Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DBT PE=1 SV=3	DBT	22.3539216895877	21.4101608895517	22.6504335032291	22.0307264197087	21.8704825873393	21.7307673680793	21.8706538487344
P61962	>sp|P61962|DCAF7_HUMAN DDB1- and CUL4-associated factor 7 OS=Homo sapiens OX=9606 GN=DCAF7 PE=1 SV=1	DCAF7	21.6314317292946	21.0387494027281	21.8637512190339	21.8666424443727	21.4010476938762	21.6099353270252	21.336827655783
Q5TAQ9	>sp|Q5TAQ9|DCAF8_HUMAN DDB1- and CUL4-associated factor 8 OS=Homo sapiens OX=9606 GN=DCAF8 PE=1 SV=1	DCAF8	21.3427491264122	21.298832535938	20.8653459672473	20.9920392156049	19.7230817084419	19.3045797413628	19.8668089883507
Q8WVC6	>sp|Q8WVC6|DCAKD_HUMAN Dephospho-CoA kinase domain-containing protein OS=Homo sapiens OX=9606 GN=DCAKD PE=1 SV=1	DCAKD	21.7779406932248	21.4421760699339	21.732659230635	21.2284380867036	21.5658732107202	21.9267046049249	21.1723214184876
Q96PD2	>sp|Q96PD2|DCBD2_HUMAN Discoidin, CUB and LCCL domain-containing protein 2 OS=Homo sapiens OX=9606 GN=DCBLD2 PE=1 SV=1	DCBLD2	20.0083181876177	19.426450537607	19.114819311836	18.7270048892126	18.4965977680785	19.4687376645402	18.5591558396171
P81605	>sp|P81605|DCD_HUMAN Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2	DCD	23.1765547427581	24.6723161235731	23.3511395173332	22.984216657497	21.5071905518528	21.5307236202144	22.4448407645494
O15075	>sp|O15075|DCLK1_HUMAN Serine/threonine-protein kinase DCLK1 OS=Homo sapiens OX=9606 GN=DCLK1 PE=1 SV=2	DCLK1	21.5087964583605	23.0848801150886	22.7059330878365	21.9265118629854	23.1773499947771	23.7804303732034	23.772515169876
Q96C86	>sp|Q96C86|DCPS_HUMAN m7GpppX diphosphatase OS=Homo sapiens OX=9606 GN=DCPS PE=1 SV=2	DCPS	19.0377061185593	19.0109756807729	19.2140001050423	18.8085424464463	21.0096887044881	20.4279865310208	21.0338751076907
P32321	>sp|P32321|DCTD_HUMAN Deoxycytidylate deaminase OS=Homo sapiens OX=9606 GN=DCTD PE=1 SV=2	DCTD	20.2872077897938	19.328758451133	20.0009085018283	20.6833371306149	20.5535677048095	19.8614633638271	19.6756011539799
