protein_id	fasta_headers	gene_symbols_or_id	OE01881_Astroc_DIA_AA14_dil1n2_250ng	OE01908_Astroc_DIA_AA17_dil1n2_250ng	OE01888_Astroc_DIA_AA20_dil1n2_250ng	OE01892_Astroc_DIA_AA02_dil1n2_250ng	OE01921_Astroc_DIA_AA05_dil1n2_250ng	OE01877_Astroc_DIA_AA08_dil1n2_250ng	OE01875_Astroc_DIA_AA11_dil1n2_250ng
P25325	>sp|P25325|THTM_HUMAN 3-mercaptopyruvate sulfurtransferase OS=Homo sapiens OX=9606 GN=MPST PE=1 SV=3	MPST	23.0871331768161	23.1734772632497	22.829061566886	23.3429985076203	23.2992222465521	23.1303991101257	22.9821248700092
O95297	>sp|O95297|MPZL1_HUMAN Myelin protein zero-like protein 1 OS=Homo sapiens OX=9606 GN=MPZL1 PE=1 SV=1	MPZL1	21.5593012025333	22.4864427601952	21.4694571111417	21.7146311100442	21.7736596119038	21.23719830053	21.6594355031314
Q9UBG0	>sp|Q9UBG0|MRC2_HUMAN C-type mannose receptor 2 OS=Homo sapiens OX=9606 GN=MRC2 PE=1 SV=2	MRC2	23.4280303760868	23.6895367973138	24.3489032268003	23.4230666875625	22.7458926472204	23.3416027385843	23.068064993046
P49959	>sp|P49959|MRE11_HUMAN Double-strand break repair protein MRE11 OS=Homo sapiens OX=9606 GN=MRE11 PE=1 SV=3	MRE11	21.3643283793837	21.3108528548724	21.8105796792579	21.8726161317403	21.9199545336447	21.5013338732924	21.5243643993249
Q9HC36	>sp|Q9HC36|MRM3_HUMAN rRNA methyltransferase 3, mitochondrial OS=Homo sapiens OX=9606 GN=MRM3 PE=1 SV=2	MRM3	21.2229245073571	21.3527635498955	21.2940646527899	21.1099646633349	20.9794048272223	21.2734931083165	20.9874167101783
Q8NDA8	>sp|Q8NDA8|MROH1_HUMAN Maestro heat-like repeat-containing protein family member 1 OS=Homo sapiens OX=9606 GN=MROH1 PE=2 SV=3	MROH1	15.7102114163373	15.8731927737307	16.4925329180836	16.6861664785168	17.2116186572597	15.8860724886562	16.137126961572
Q7Z745	>sp|Q7Z745|MRO2B_HUMAN Maestro heat-like repeat-containing protein family member 2B OS=Homo sapiens OX=9606 GN=MROH2B PE=2 SV=3	MROH2B	20.064469712469	20.1861658858469	20.1188973539147	20.0098636662424	20.5305297022231	20.6136735515756	20.1513566309317
Q9BYD6	>sp|Q9BYD6|RM01_HUMAN Large ribosomal subunit protein uL1m OS=Homo sapiens OX=9606 GN=MRPL1 PE=1 SV=2	MRPL1	20.8034679859356	21.3755164888394	20.8668311246019	21.5849743804115	21.1112827217592	20.6608725795632	20.6478987583896
Q7Z7H8	>sp|Q7Z7H8|RM10_HUMAN Large ribosomal subunit protein uL10m OS=Homo sapiens OX=9606 GN=MRPL10 PE=1 SV=3	MRPL10	21.1028403443069	21.451062795367	19.7794167926454	21.5557814893839	21.5828842217119	21.1597943921011	20.653411404539
Q9Y3B7	>sp|Q9Y3B7|RM11_HUMAN Large ribosomal subunit protein uL11m OS=Homo sapiens OX=9606 GN=MRPL11 PE=1 SV=1	MRPL11	20.6592700439405	21.3404424374406	20.8550016599765	21.3517990232377	20.915964382104	20.5651254470883	20.8198384532385
P52815	>sp|P52815|RM12_HUMAN Large ribosomal subunit protein bL12m OS=Homo sapiens OX=9606 GN=MRPL12 PE=1 SV=2	MRPL12	23.8105937100402	24.4099726126459	23.9467285260947	24.545662985461	24.0417790018811	23.8203326874031	23.8132158083201
Q9BYD1	>sp|Q9BYD1|RM13_HUMAN Large ribosomal subunit protein uL13m OS=Homo sapiens OX=9606 GN=MRPL13 PE=1 SV=1	MRPL13	20.5110657429431	20.6372677152846	20.3585316259212	21.0628967589528	20.4282797595314	20.6947239749927	20.7641114159048
Q6P1L8	>sp|Q6P1L8|RM14_HUMAN Large ribosomal subunit protein uL14m OS=Homo sapiens OX=9606 GN=MRPL14 PE=1 SV=1	MRPL14	20.7221368060312	20.7848319783818	20.4572323649585	21.0021086025733	19.7713145479472	20.9611742410658	21.1172138028568
Q9P015	>sp|Q9P015|RM15_HUMAN Large ribosomal subunit protein uL15m OS=Homo sapiens OX=9606 GN=MRPL15 PE=1 SV=1	MRPL15	20.6514828834486	21.3861383510555	21.2609311099632	21.7248462266084	21.0836845716296	20.6630202090823	20.8888415624164
Q9NX20	>sp|Q9NX20|RM16_HUMAN Large ribosomal subunit protein uL16m OS=Homo sapiens OX=9606 GN=MRPL16 PE=1 SV=1	MRPL16	20.4221446069406	21.233854066977	20.6482660144451	21.2283567123383	20.663492196491	20.6113797013073	20.7667875189815
Q9NRX2	>sp|Q9NRX2|RM17_HUMAN Large ribosomal subunit protein bL17m OS=Homo sapiens OX=9606 GN=MRPL17 PE=1 SV=1	MRPL17	21.1376669434201	21.4327803481189	21.284888705875	21.7368012461839	21.0712174776652	21.2216715207966	21.2743910961264
Q9H0U6	>sp|Q9H0U6|RM18_HUMAN Large ribosomal subunit protein uL18m OS=Homo sapiens OX=9606 GN=MRPL18 PE=1 SV=1	MRPL18	21.6759473373498	22.2096651714665	21.7237847550267	22.2295262074555	21.9717301474703	21.7205545346773	21.8958950218293
